Id,Type,Blindness,Day,Time,AbstractFileName,SlidesFileName,Title,Authors,abstract_url,Abstract
UCYLJC,talk,Non-blind,10-Wed,12h00,2026-06-10-RISC-V-Summit-Europe-12h00-MAGNO-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-12h00-MAGNO-slides.pdf,"RVEdge-Vision: A Fully Open, Ultra-Efficient On-Device AI Platform for Smart Eyewear",Michele Magno,,"Smart eyewear promises unobtrusive, context-aware human–computer interaction by leveraging strategically placed multimodal sensors and on-device intelligence. However, integrating high-bandwidth sensing and machine learning inference within a compact and lightweight form factor remains challenging due to strict constraints in power consumption, memory footprint, and computational efficiency.This work presents RVEdge-Vision, an open hardware and software platform built on the RISC-V ecosystem that enables rapid prototyping and evaluation of next-generation smart glasses. The platform adopts a modular architecture supporting both frame-based and event-based vision sensors. To the best of our knowledge, this is the first open smart-glasses platform integrating event-based vision sensing in a glasses form factor, enabling ultra-efficient visual perception for wearable edge AI systems.
The system incorporates a hardware–software co-designed power management framework optimized for battery-operated edge devices and continuous sensing workloads. As a reference implementation, we present a compact smart-glasses prototype that integrates multimodal sensing and on-device ML acceleration. The device can operate for several hours on a 300 mAh battery while sustaining real-time embedded vision workloads. A YOLOv8-based hand gesture recognition runs on-board with a few ms latency without relying on cloud connectivity. By releasing the platform as open hardware, OpenEdge RV aims to accelerate innovation within the RISC-V and open-edge AI communities, providing a reproducible foundation for research in wearable sensing, neuromorphic vision, and ultra-efficient on-device intelligence."
WHFNV3,talk,Non-blind,11-Thu,10h15,2026-06-11-RISC-V-Summit-Europe-10h15-FAN-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-10h15-FAN-slides.pdf,A User-Friendly and AI-Ready Desktop for RISC-V: Bianbu LXQt,Xiaogang Fan,,"We present Bianbu LXQt, a user-oriented desktop environment for RISC-V platforms built on a deeply adapted LXQt software stack, optimized for real hardware such as SpacemiT’s K1 and K3 SoCs. Unlike straightforward ports that assume x86-like hardware standardization, this work addresses common RISC-V Linux challenges, including fragmented peripheral support and the absence of a unified hardware abstraction layer. SpacemiT's CPUs integrate AI-oriented instruction extensions such as IME, enabling CPU-based inference without discrete GPUs or NPUs, requiring coordinated adaptation across the OS and AI frameworks.
Preserving LXQt’s lightweight design, we redesigned the UI and interaction logic to improve responsiveness and visual consistency on resource-constrained RISC-V systems. Development was accelerated using AI-assisted tooling, while continuous feedback from educators and early adopters guided iterative fixes for lag, crashes, and complex configuration—letting users focus on creation, learning, and development rather than system tuning.
The full software stack is open source with reproducible builds and modular components. We proved educational AI examples covering image recognition, speech processing, video analysis, and large language model inference,  all with intuitive GUIs. Frameworks including ONNX Runtime, llama.cpp, and Ollama run reliably, demonstrating the feasibility of RISC-V systems for AI deployment and local AI development.
Through practical system integration, community-driven iteration, and accessible AI tooling, this work shows RISC-V can deliver a polished, daily-driver desktop environment—moving beyond a demo into a trusted open platform for developers, educators, and innovators."
WWT8EV,talk,Non-blind,10-Wed,17h15,2026-06-10-RISC-V-Summit-Europe-17h15-ZHANG-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-17h15-ZHANG-slides.pdf,Proposal of State Sensitive Counter (Sssscnt),Fengxue Zhang and Bohua Kou,,"PELT (Per-Entity Load Tracking) is an exponential decay-based per-entity load tracking algorithm in the Linux kernel. It significantly enhances the scheduler’s load awareness accuracy, response latency, and energy efficiency. However, there are still drawbacks in load tracking: The load metrics that are used are not CPU-frequency invariant. The advent of CPU frequency scaling causes task physical runtime to fluctuate with frequency, which, if uncorrected, distorts util_avg and leads to scheduling misjudgments. To address this, the kernel employs hardware counters (e.g., Intel APERF/MPERF, ARMv8.4-AMU) to implement frequency invariance accounting, ensuring util_avg remains anchored to the CPU’s maximum capacity, thereby maintaining load statistics accuracy and scheduling optimality in dynamic frequency environments.
Targeting RISC-V architectures, this proposal introduces State sensitive Counters to fill the gap in PELT
frequency invariance support. Together, these counters enable the derivation of real-time operating frequency and normalized utilization without costly synchronous queries."
XFYMDU,talk,Blind,09-Tue,17h15,2026-06-09-RISC-V-Summit-Europe-17h15-RODRÍGUEZ-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-17h15-RODRÍGUEZ-slides.pdf,Practical Implications of SPMP-Based Virtualization in RISC-V,Manuel Rodríguez,,"The RISC-V SPMP for Hypervisor specification enable MMU-less virtualization through a multi-layered memory protection architecture. While this model provides strong isolation for mixed-criticality MCUs, concerns have been raised regarding the hardware overhead and timing impact of multiple PMP layers. In this work, we present an empirical evaluation of an SPMP for Hypervisor proof-of-concept implementation. We analyze FPGA resource utilization and timing behavior as a function of entry count and discuss realistic entry requirements for MCU-based virtualization workloads, providing insights for hardware designers adopting SPMP-based architectures."
99DRJM,keynote,,11-Thu,09h30,2026-06-11-RISC-V-Summit-Europe-09h30-ZUFFO-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-09h30-ZUFFO-slides.pdf,RISC-V for the Planet: Open-Source Microprocessors in the Internet of Trees,Marcelo Zuffo,,"Climate change and environmental degradation demand new approaches for large-scale, continuous, and intelligent sensing of natural ecosystems. The Internet of Trees proposes a distributed infrastructure where smart environmental probes deployed in forest environments become active nodes in a real-time environmental intelligence network—requiring computing platforms that are low-power, secure, adaptable, and affordable.

RISC-V offers a powerful foundation for next-generation environmental sensing systems. As an open-source ISA, it enables technological flexibility, design transparency, and long-term digital sovereignty, while allowing customized processors tailored to edge AI, wireless sensor networks, secure communication, and ultra-low-power operation. These features are especially critical for climate-oriented deployments in remote, resource-constrained environments.

This keynote presents the Internet of Trees as a case study for the strategic use of open-source microprocessor technology, discussing how RISC-V supports distributed sensing, local data processing, trusted operation, and scalable integration with cloud-based environmental platforms. Beyond technical efficiency, open microprocessor ecosystems can strengthen local innovation and sustainable semiconductor capacity—making RISC-V not merely a processor architecture, but an instrument for building resilient, sovereign infrastructures for planetary monitoring.

The Internet of Trees illustrates how open silicon can connect sustainability, intelligence, and environmental stewardship, a perspective particularly relevant for emerging economies seeking both climate action and technological autonomy. The convergence of open hardware and environmental intelligence may define a new class of digital infrastructure for the living world.

RISC-V can be one of its most important enabling technologies."
BQWHMQ,keynote,,09-Tue,11h30,2026-06-09-RISC-V-Summit-Europe-11h30-KROAH-HARTMAN-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-11h30-KROAH-HARTMAN-slides.pdf,Linux on RISC-V: Learning from the Mistakes of History,Greg Kroah-Hartman,,"Many people in the past have said ""Don't make the same mistakes that other architectures have"" when it comes to the development of Linux for RISC-V.  Despite this warning, many of the same things keep happening, directly affecting the future success of RISC-V.  This talk will go into an opinionated description of some of these issues, and why we should learn from previous mistakes in order to save millions of dollars, and not waste precious effort."
C9CTGS,keynote,,10-Wed,10h00,2026-06-10-RISC-V-Summit-Europe-10h00-BENINI-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-10h00-BENINI-slides.pdf,RISC-V: Enabling Open Physical AI,Luca Benini,,"Autonomous systems' (robots, cars, satellites...)  capabilities will be driven by Physical AI,  Energy efficiency is not the only key constraint for future physical AI chips, as safety and robustness are extremely critical for autonomous operation To tackle the compound challenge, we need  to aggressively optimize efficiency, leveraging specialization across all levels of the  chip design hierarchy, pushing into domain-specific design automation tools and methodologies, while at the same time accounting  for the increasing reliability concerns in advanced IC technology.  In this talk, I will give concrete examples of how RISC-V enables deep domain specialization, for efficient and safe, reliable Physical AI, emphasizing  the strategic importance of an open-platform approach."
CHMWCN,keynote,,10-Wed,09h45,2026-06-10-RISC-V-Summit-Europe-09h45-GILAD-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-09h45-GILAD-slides.pdf,ARBEL™ The Leading Server-Class RISC-V CPU,Yiftach Gilad,,"Yiftach will introduce NextSilicon’s Arbel program, which includes a few generations of RISC-V out-of-order super scalar core systems, including a silicon chip and mini computer, and the plans for the first RISC-V server-grade high-performance RISC-V CPU."
EEJ8QY,keynote,,11-Thu,09h00,2026-06-11-RISC-V-Summit-Europe-09h00-DADASHEVA-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-09h00-DADASHEVA-slides.pdf,Developing an Open Agentic SoC,Tanya Dadasheva,,"Ainekko’s Agentic SoC is an open, full-stack approach to AI-native silicon that treats hardware as a programmable, composable substrate for model execution rather than a fixed target. Built on a many-core RISC-V architecture with tile-based compute and memory, the platform enables automated model-to-hardware mapping, dynamic quantization, and workload-specific system composition at packaging time, eliminating the need for per-model tape-outs.

We invert the traditional stack: models define the hardware. Our approach sits between FPGA flexibility and etching models into ASIC-level efficiency, delivering high performance and practical economics while remaining fully programmable to adapt to rapidly evolving models and architectures.

Our programmable RISC-V fabric has been validated with a 1,088-core tape-out and is designed to scale to 4,000+ cores. On top of this foundation, we have built a set of open building blocks across RTL, compiler, and runtime, which we are open-sourcing through the OpenHW Foundation (CORE-ET project) and AIFoundry. This open ecosystem enables developers, researchers, and AI agents to co-design across the full stack and directly optimize execution on hardware. This openness is essential: supporting fast-moving models, heterogeneous edge workloads, and agent-driven development requires a system where new kernels, quantization strategies, and architectural innovations can be introduced and composed without vendor constraints."
FYEFSR,keynote,,10-Wed,09h30,2026-06-10-RISC-V-Summit-Europe-09h30-HU-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-09h30-HU-slides.pdf,Nuclei: Full-Spectrum RISC-V IP & Automated SoC Design from Months to Hours,Bob Hu,,"This presentation introduces Nuclei’s Subsystem Architector, a game-changing automation tool for RISC-V SoC design. As a leading Chinese RISC-V IP vendor, Nuclei delivers a full lineup of self-developed cores from M0-class ultra-low-power to A78-class high-performance processors, plus a complete SoC IP portfolio. Featuring an intuitive GUI, the tool enables end-to-end subsystem configuration, auto-verification, and one-click generation of production-ready deliverables. It cuts design/verification efforts by up to 95%, slashing iteration time from months to hours. Proven in IoT, industrial, automotive and multimedia projects, it empowers efficient, differentiated SoC development."
GQYRRB,keynote,,09-Tue,10h15,2026-06-09-RISC-V-Summit-Europe-10h15-BAO-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-10h15-BAO-slides.pdf,XiangShan Practice: The Path to Industrial Deployment of Open-Source High-Performance RISC-V Processor,YUNGANG BAO,,"XiangShan is an open-source high-performance RISC-V processor project launched in 2020. After six years of development, XiangShan has become the most active open-source hardware project internationally, with over 7,000 Stars and 900 Forks on GitHub. XiangShan is the highest-performance open-source RISC-V processor core in the world. The third-generation core, Kunminghu (KMH), supports RVA23 Profile and achieves a measured performance of 16.5 points/GHz on SPECCPU2006, reaching the level of ARM Neoverse‑N2 and meeting the requirements of data center and AI application scenarios. More importantly, XiangShan has achieved product‑level delivery and large‑scale deployment. Multiple companies have successfully taped out chips based on XiangShan and deployed them at scale, with shipments reaching 50,000 units. This talk introduces how XiangShan accelerates its iteration through agile design and achieves product‑level delivery quality through agile verification."
KHW8H3,keynote,,09-Tue,09h40,2026-06-09-RISC-V-Summit-Europe-09h40-GROVE-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-09h40-GROVE-slides.pdf,Tailoring Workloads for Agentic AI Using Advanced Virtual Platforms for RISC-V,Sam Grove,,"The traditional model of selecting a CPU from a datasheet and then beginning software development is outdated. Today, customers need to optimize software while being able to influence the hardware. The hardware/software co-design paradigm shift drives new requirements: system-level virtual platforms; standards-based extensible hardware; and open toolchains.
 
This keynote will explore how virtual platforms for software development and workload optimization bridges the gap between hardware and software, enabling early architecture exploration for a variety of processor cores. Sam will explain how MIPS Atlas Explorer supports RISC-V designs that conform to standard Profiles while still allowing for application-specific extensions. He will showcase Atlas Explorer in action through demos targeting RISC-V core models and deploying to commercially available hardware. Attendees will also get a glimpse of how Atlas Explorer is being used by industry leaders to tailor systems around real workloads, reducing cost and increasing platform confidence ahead of silicon."
N9KRDZ,keynote,,10-Wed,09h00,2026-06-10-RISC-V-Summit-Europe-09h00-ASANOVIĆ-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-09h00-ASANOVIĆ-slides.pdf,RISC-V State of the Union,Krste Asanović,,"In this session RISC-V’s Chief Architect will give an overview of RISC-V adoption across computing markets from Embedded to AI. Krste will discuss new developments in the RISC-V ISA, including security extensions and matrix extensions for AI, as well as new profile and platform initiatives."
SY39HX,keynote,,09-Tue,10h00,2026-06-09-RISC-V-Summit-Europe-10h00-GIANFREDA-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-10h00-GIANFREDA-slides.pdf,Let's shift the mindset,Cosimo Damiano Gianfreda,,"Drawing from hands-on experience building Europe's first RISC-V HPC cluster (Monte Cimone), E4 Computer Engineering argues that RISC-V's main barrier to industrial adoption is no longer hardware, but mindset. The community must evolve from an ISA-focused culture to a full ecosystem vision: industry-grade CPUs and accelerators, robust OS and tooling support, a solid certification program, application porting, and active engagement with industrial users, ISVs, ODMs and OEMs. Only by combining a developer-first with a customer-first approach and actively listening to industrial users can RISC-V make the leap to mainstream adoption."
V7W33B,keynote,,11-Thu,11h30,2026-06-11-RISC-V-Summit-Europe-11h30-SHALA-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-11h30-SHALA-slides.pdf,Albania is an AI-Factory,Kushtrim Shala,,"The European AI Factory initiative aims to distribute sovereign compute capacity across Europe, but participation from Western Balkans accession countries has remained largely aspirational. Albania is charting a different course.
Albania's ICT sector employs tens of thousands of skilled engineers, but almost entirely in software outsourcing—writing code for other countries' products on other countries' architectures. This model creates employment but not ownership, capability but not sovereignty. The age of AI demands transformation: from consuming compute to shaping it.
This talk presents a strategy to establish one of Europe's first RISC-V-native AI compute facilities. The initiative is designed not only to serve Albania's public-sector AI needs but to act as a regional compute hub for the Western Balkans and a gateway for Middle Eastern partners seeking EU-aligned AI infrastructure.
Critically, the strategy begins in the classroom. By embedding RISC-V into Albanian computer science and engineering education, the initiative connects that talent pipeline directly to a sovereign AI compute facility, transforming a generation of outsourcing engineers into architects of AI infrastructure.
Kushtrim Shala draws on Albania's track record in digital innovation to show how small, agile countries can move faster than larger member states in adopting open ISA infrastructure. The talk addresses what it takes to bootstrap a semiconductor culture and makes the case that RISC-V is not merely a technical choice but a strategic instrument of digital sovereignty—one that smaller nations can leverage to build resilient, independent AI capacity."
WLDTDU,keynote,,10-Wed,11h30,2026-06-10-RISC-V-Summit-Europe-11h30-FARISELLI-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-11h30-FARISELLI-slides.pdf,From Eyewear to Silicon: RISC-V for Low-Power AI in Next-Generation Smart Glasses,Marco Fariselli,,"Smart glasses must run multiple demanding applications—speech enhancement, eye tracking, and automatic speech recognition—simultaneously within tens of milliwatts of power budget. This poses a significant challenge for platforms constrained by milliampere-hour batteries and gram-scale form factors.
Open hardware ecosystems, and RISC-V in particular, have proven invaluable. Rather than a contribution target, RISC-V provides a foundation to build on. Recent industrial and academic efforts have produced rigorously validated, ultra-low-power microarchitectures and extensive open knowledge that significantly lowers the barrier to custom silicon for teams whose expertise lies outside traditional semiconductor IP development.
The second key challenge is on-device ML inference in a field where model architectures evolve faster than fixed-function accelerators. Hyper-specialized NPUs risk obsolescence before shipping. The solution is heterogeneous SoCs: systems where dedicated NPUs handle heavy-lifting for characterized inference workloads, tightly coupled with programmable RISC-V cores for pre/post processing and new operations.
Crucially, RISC-V cores are extensible. Their ISA can be extended with custom instructions to efficiently cover emerging operators without full hardware redesigns—avoiding the obsolescence problem entirely.
This talk offers a high-level perspective on how a product-driven company approaches custom silicon for smart eyewear, and why RISC-V sits at the center of that strategy."
X9GUED,keynote,,09-Tue,09h15,2026-06-09-RISC-V-Summit-Europe-09h15-GALLO-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-09h15-GALLO-slides.pdf,RISC-V Innovation at Scale,Andrea Gallo,,"The RISC-V ISA and ecosystem are redefining computing, enabling new innovations in applications from the smallest, simplest embedded systems to the most demanding high performance deployments. In this session Andrea Gallo, the CEO of RISC-V International, outlines the progress of the RISC-V ecosystem in real world applications from Automotive, to Embedded, to AI and Data Center. He will outline the successes and momentum that have come from the ratification of the RVA23 profile including the latest product news from around the RISC-V ecosystem in both hardware and software enablement."
YVHUED,keynote,,09-Tue,16h30,2026-06-09-RISC-V-Summit-Europe-16h30-DAHAN-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-16h30-DAHAN-slides.pdf,No Fab Required: Monetizing RISC-V Designs in the Cloud,Jeremy Dahan,,"The open-standard RISC-V instruction set architecture (ISA) represents a paradigm shift in processor design and development, with its modular and customizable nature enabling a new era of processors uniquely tailored to their software workload. At RISC-V Summit 2025, AWS explored the potential of hardware / software co-design in the cloud for advanced testing and simulation, enabled by scalable, cloud-based solutions that combine high-performance FPGA instances with advanced emulation capabilities. This talk will give an update on how this democratized access is accelerating innovation cycles, reducing costs, and enabling organizations of all sizes to participate in RISC-V development, and addresses how RISC-V core developers can use AWS to monetize their designs in the cloud without the need to go to silicon."
BLF3DX,invited talk,False,10-Wed,14h30,2026-06-10-RISC-V-Summit-Europe-14h30-TOMSICH-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-14h30-TOMSICH-slides.pdf,Matrix Extensions for RISC-V: Delivering on the Promise,Dr. Philipp Tomsich,,"When the RISC-V matrix extensions effort was restructured into four complementary approaches at Summit Europe 2025 in Paris, it was a bold architectural bet — that the breadth of the RISC-V ecosystem demands not one rigid solution but a family of extensions spanning from lightweight vector-matrix primitives to fully independent matrix engines. One year later, that bet is paying off. This talk reports on the rapid progress across the matrix extension family as two of the four extensions — the Integrated Matrix Extensions (IME) and the Vector Matrix Extensions (VME) — converge on specification freeze. We trace the architectural decisions that brought IME and VME from concept to maturity: algebraic tile geometry that scales naturally with VLEN, the deliberate reuse of RVV state for seamless software integration, and the introduction of dedicated accumulator registers to unlock higher computational intensity where implementations demand it. Crucially, work is starting to unify IME and VME through a common LLVM-MLIR lowering path — giving compilers and AI/ML frameworks a single abstraction that targets both extensions, ensuring that the software ecosystem scales with the hardware rather than fragmenting across it. For Europe's semiconductor industry — from research institutions and startups to established design houses — standardized, open matrix extensions represent a strategic opportunity: competitive AI/ML and HPC capability on an open ISA, free from proprietary lock-in. RISC-V matrix support is no longer a roadmap item. It is arriving."
GLNQVZ,invited talk,False,10-Wed,16h30,2026-06-10-RISC-V-Summit-Europe-16h30-WILFORD-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-16h30-WILFORD-slides.pdf,Transforming MCUs in an AI-Defined Era,Edward Wilford,,"As artificial intelligence reshapes embedded systems, MCUs are evolving from simple control devices into intelligent, distributed computing nodes. This talk explores how RISC-V architecture and scalable AI frameworks are enabling a pragmatic, incremental approach to system transformation—particularly critical in automotive applications where safety, reliability, and legacy integration remain paramount."
MZ9RFR,invited talk,False,11-Thu,14h30,2026-06-11-RISC-V-Summit-Europe-14h30-HOLLAND-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-14h30-HOLLAND-slides.pdf,RISC‑V at Scale: From Embedded Dominance to Application Processor Opportunities,John Holland,,"RISC‑V has emerged as one of the most important new architectures in decades, achieving widespread adoption in embedded systems and shipping at massive scale. But as the industry looks beyond embedded into application processors, a new set of challenges—and opportunities—comes into focus.

This talk explores where RISC‑V stands today, what makes its next phase of growth fundamentally different, and why its future is likely to unfold unevenly across markets. It highlights key inflection points that will shape adoption and outlines where RISC‑V is poised to gain traction next."
SPMRUA,invited talk,False,09-Tue,14h30,2026-06-09-RISC-V-Summit-Europe-14h30-KRČMÁŘ-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-14h30-KRČMÁŘ-slides.pdf,RISC-V Server Platform 1.0: One Spec to Boot Them All,Radim Krčmář,,"As RISC‑V enters high‑performance computing (from traditional data‑center servers to edge infrastructure, telecom systems, and industrial compute platforms) a unified platform definition is essential. Without a consistent hardware and firmware contract, system‑software vendors face fragmented bring‑up, slowing ecosystem adoption.

The RISC‑V Server Platform Specification solves this by defining a clear baseline that supports high‑performance RISC‑V platforms. Built by composing existing standards such as the RVA23 profile, Server‑class SoC requirements, UEFI/ACPI boot via BRS, SBI interfaces, and modern security foundations including roots of trust, secure boot, attestation, and BMC‑based management, the specification enables OS and hypervisor developers to target a single portable binary.

This talk outlines the goals, structure, and key requirements of Server Platform Specification 1.0, explaining how it reduces fragmentation, accelerates system‑software portability, and provides a stable foundation for interoperable, production‑ready RISC‑V platforms across diverse deployment environments."
USADYC,invited talk,False,09-Tue,16h45,2026-06-09-RISC-V-Summit-Europe-16h45-DELLOW-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-16h45-DELLOW-slides.pdf,Beyond Privilege: The RISC‑V Isolation Toolbox from Microcontrollers to Confidential Computing,Andrew dellow,,"This talk surveys the RISC‑V isolation toolbox—spanning PMP/ePMP, SPMP, privilege levels, virtualization, Risc-V Worlds, and emerging Supervisor Domains—and shows how these mechanisms can be combined to build scalable, composable security and safety systems beyond traditional privilege separation.

RISC‑V has steadily developed a rich and diverse set of isolation mechanisms, including ePMP for physical memory protection, privilege levels for execution control, page‑based virtual memory for scalable address isolation, hypervisor extensions for virtualization, and Worlds for hardware‑enforced compartmentalization. Each of these tools addresses different isolation challenges, from resource‑constrained microcontrollers to full server‑class systems.

Modern platforms increasingly demand fine‑grained, composable isolation rather than coarse, monolithic privilege separation. Mixed‑criticality systems, safety‑certified embedded platforms, and confidential computing environments all require isolation techniques that can be layered, combined, and adapted to different threat models and deployment constraints.

This talk presents a toolbox‑oriented view of RISC‑V isolation.

Supervisor Domains are introduced as an emerging architectural direction within this toolbox, exploring finer‑grained isolation within supervisor mode itself. While still evolving, Supervisor Domains illustrate the broader move beyond privilege levels toward more modular and composable execution domains and provide a useful lens for understanding how future RISC‑V systems may further decompose trusted software."
