Submission ID,,,Title,Main Contact Firstname,Main Contact Lastname,Main Contact Affiliation,Keywords,Acceptance Status,Constraints,Present,Day,Stand,Island,Poster
1,1,"Methods, tools",Emulating Ox64 BL808 64-bit SBC in WebAssembly: Experiments with TinyEMU and Apache NuttX RTOS,Lup Yuen,Lee,IoT Techie and Educator,"Operating system and software ecosystem;	Embedded systems, IoT, edge computing",Accept as poster (industry),,1,Wednesday 26th,D-11,D,11
2,2,Other,"MachineWare GmbH - Virtual Hardware, Real Benefits",Lukas,Juenger,MachineWare GmbH,"Automotive;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	Open EDA tools;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster (industry),,1,Tuesday 25th,B-11,B,11
3,3,Application,Deploying Neural Networks on RISC-V with VPU,Marius,Monton,Universitat Autonoma de Barcelona,"Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions",Accept as poster,,1,Thursday 27th,B-01,B,01
4,4,Application,Lessons from porting SW to riscv64,Ludovic,Henry,Rivos,Operating system and software ecosystem;	RISC-V ISA extensions;	Compilation and code optimization;	,Accept as poster,,1,Wednesday 26th,D-04,D,04
5,5,Security,XuanTie Virtualzone Technology Undergoes Commerial Inspection,Cui,Xiaoxia,Alibaba,"Operating system and software ecosystem;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety",Accept as poster,,1,Tuesday 25th,B-01,B,01
7,7,"Core, IP",RISC-V BASED AIOT COMPUTING PAVES THE WAY FOR ANOTHER RICH OS ARCHITECTURE RESET,Laurent,JABIOL,,"Hardware/software co-design;	Operating system and software ecosystem;	Embedded systems, IoT, edge computing",Reject (industry),,,,,,
8,8,Verification,An Interchangeable UVM Environment for Verifying Multiple Systolic Arrays,Junaid,Ahmed,Barcelona Supercomputing Center,Verification;	,Accept as poster,,1,Wednesday 26th,A-01,A,01
9,9,Verification,Enhancing Privileged Architecture Support in RISC-V ISAC,Umer,Shahid,UET Lahore,RISC-V ISA extensions;	Open EDA tools;	Verification,Accept as poster,,1,Wednesday 26th,B-03,B,03
10,10,Security,SecureBOOM: Mitigating Spectre in an Out-of-Order RISC-V Core with a Formally Backed Design Flow,Tobias,Jauch,RPTU Kaiserslautern-Landau,Verification;	Security and functional safety;	Open-source hardware and open silicon,Accept as poster,,1,Tuesday 25th,B-02,B,02
11,11,"Core, IP",RISC-V: The CPU of choice for Graphics Processing Units (GPUs),Andrew,Johnston,Imagination Technologies,"Automotive;	High-performance computing;	Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	",Accept as poster (industry),,1,Thursday 27th,A-09,A,09
12,12,Other,Driving Innovation: TASKING's Role in Accelerating RISC-V Adoption in Automotive Electronics,Gerard,Vink,,Operating system and software ecosystem;	Security and functional safety;	Compilation and code optimization;	Hardware/software co-design;	Automotive,Declined,,,,,,
13,13,Security,"TrustSoC-V: An Heterogeneous SoC Architecture for RISC-V, Secure-by-Design",Raphaele,Milan,LaboratoryHubertCurien,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	Security and functional safety",Accept as poster,,1,Tuesday 25th,B-03,B,03
14,14,Education,Impact of the four French RISC-V Contests on Education and Research,Jerome,Quevremont,Thales Research & Technology,Open-source hardware and open silicon;	RISC-V related educational activities,Accept as poster,,1,Tuesday 25th,D-10,D,10
15,15,"Core, IP",Open-source RISC-V Input/Output Physical Memory Protection (IOPMP) IP,Luis,Cunha,University of Minho,Security and functional safety;	Open-source hardware and open silicon;	,Accept as presentation,,1,Thursday 27th,D-03,D,03
16,16,Safety,RISC-V in the Fast Lane: Meeting ISO Standards in Automotive Software Tools,Gerard,Vink,,Security and functional safety;	Compilation and code optimization;	Automotive;	,Reject,,,,,,
17,17,"Methods, tools",A Methodology for Automating the Integration of User-Defined Instructions into RISC-V Systems based on the CV-X-IF Interface,Sofia,Maragkou,"Institute of Computer Technology, Vienna University of Technology","Any other topic related to RISC-V and open hardware;	Open-source hardware and open silicon;	Open EDA tools;	RISC-V ISA extensions;	High-performance computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,TRISTAN,1,Wednesday 26th,B-12,B,12
18,18,Software,RISE Technical Steering Committee Update,Jeffrey,Osier-Mixon,Red Hat,Operating system and software ecosystem,Accept as poster (industry),,1,Wednesday 26th,D-08,D,08
20,20,"Core, IP",Three RISC-V SoCs in Three Years,Saman,Payvar,Tampere University,"Open-source hardware and open silicon;	Systems-on-Chip, including processor cores, accelerators, peripherals;	High-performance computing;	RISC-V related educational activities",Accept as poster,,1,Thursday 27th,C-01,C,01
21,21,Software,GCC 14 RISC-V Vectorization Improvements and Future Work,Robin,Dapp,Ventana Micro,Compilation and code optimization;	,Accept as presentation,,1,Thursday 27th,A-01,A,01
22,22,"Methods, tools",SPIKE as a Reference Model in RTL Simulation Verification Environments,Mike,Thompson,OpenHW Group,Open-source hardware and open silicon;	Verification;	Open EDA tools,Accept as poster (industry),,1,Wednesday 26th,B-04,B,04
23,23,Security,Increasing the Adoption of RISC-V by Giving Compliance Monitoring and Enforcement Priority.,Elisha,Chitsenga,Software Developer,RISC-V related educational activities;	Security and functional safety;	Any other topic related to RISC-V and open hardware;	Verification;	,Reject,,,,,,
24,24,Education,"""One Student One Chip"" Initiative: Learn to Build RISC-V Chips from Scratch with MOOC",Zihao,Yu,"ICT, CAS",RISC-V related educational activities,Accept as poster,,1,Tuesday 25th,D-11,D,11
25,25,Software,Leveraging Container Technology for Streamlined RISC-V ACT (Architecture Compatibility Testing),James,Shi,Alibaba Inc,Verification;	Operating system and software ecosystem;	RISC-V ISA extensions;	,Accept as poster,,1,Wednesday 26th,D-07,D,07
26,26,Verification,Cross-Level Verification of Hardware Peripherals,Sallar,Ahmadi-Pour,University of Bremen,"Embedded systems, IoT, edge computing;	Hardware/software co-design;	Verification;	",Accept as poster,,1,Wednesday 26th,A-02,A,02
27,27,Security,Fast CHERI-RISC-V Compartmentalization,Franz,Fuchs,University of Cambridge,RISC-V ISA extensions;	Security and functional safety;	Hardware/software co-design,Accept as poster,,1,Tuesday 25th,B-04,B,04
28,28,Software,RISC-V Hypervisor extension formalization in Sail,Lowie,Deferme,"DistriNet, KU Leuven",RISC-V ISA extensions;	Verification;	Operating system and software ecosystem,Accept as presentation,,1,Wednesday 26th,D-10,D,10
29,29,Application,RISC-V Instruction Set Architecture extension for Spiking Neural Network acceleration for gesture recognition using mm-Wave Radar,Prathamesh Satish,Deshpande,Infineon Technologies AG,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	RISC-V ISA extensions;	",Reject,,,,,,
30,30,Security,Into the Memory-Verse: A Multicolored Approach for C/C++ Memory Safety in RISC-V,Konrad,Hohentanner,Fraunhofer AISEC,Security and functional safety;	Hardware/software co-design;	RISC-V ISA extensions;	Compilation and code optimization,Accept as poster,,1,Tuesday 25th,B-05,B,05
31,31,Verification,A Novel verification tool to verify the RVWMO memory model using UVM and Python Blend,RAVITEJA,TELUGUNTA,Imagination Technologies,,Accept as poster,,1,Wednesday 26th,A-03,A,03
32,32,"Core, IP",Exploring Accelerator Integration with Core-V eXtention InterFace (CV-X-IF) for Kyber,Alessandra,Dolmeta,Politecnico di Torino,"Security and functional safety;	Embedded systems, IoT, edge computing;	Hardware/software co-design;	RISC-V ISA extensions;	",Accept as poster,,1,Thursday 27th,A-10,A,10
33,33,"Core, IP","SERV, QERV and HERV: Meet the world's smallest RISC-V cores",Olof,Kindgren,Qamcom,"Open-source hardware and open silicon;	Embedded systems, IoT, edge computing;	Open EDA tools;	Hardware/software co-design;	",Accept as poster,,1,Thursday 27th,C-02,C,02
34,34,"Core, IP",Commercializing CHERI on a Codasip A730 RISC-V application core,Andres,Amaya Garcia,Codasip,"Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions;	Security and functional safety;	Automotive;	Hardware/software co-design",Accept as poster (industry),,1,Thursday 27th,C-03,C,03
35,35,"Core, IP",Real Time additions to the CVA6 Core,Nicolas,Tribie,Bosch FR,,Accept as presentation (industry),,1,Wednesday 26th,B-05,B,05
36,36,"Core, IP",Accelerating and securing compute-intensive applications using RISC-V extensibility,Andy,Frame,VyperCore,"Security and functional safety;	Compilation and code optimization;	Systems-on-Chip, including processor cores, accelerators, peripherals;	High-performance computing;	Cloud computing",Accept as poster (industry),,1,Thursday 27th,D-05,D,05
37,37,"Core, IP",Optimizing Neural Network Classification On Resource Constrained Processors through Customization,Keith,Graham,Codasip,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	Embedded systems, IoT, edge computing",Accept as poster,,1,Thursday 27th,B-07,B,07
38,38,Verification,A RISC-V SOC Platform for Automotive and IoT Applications,Sergio,Marchese,SmartDV Technologies,"Verification;	Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	",Reject (industry),,,,,,
39,39,"Methods, tools",A Design-Centric Open-Source Dataset for Enhanced EDA Applications in Machine Learning,Yifei,Zhu,Student of TsingHua University,"Open-source hardware and open silicon;	Operating system and software ecosystem;	Cloud computing;	Any other topic related to RISC-V and open hardware;	Verification;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Compilation and code optimization;	RISC-V related educational activities;	Embedded systems, IoT, edge computing;	Open EDA tools;	Hardware/software co-design;	High-performance computing;	",Accept as poster,,1,Wednesday 26th,D-12,D,12
40,40,"Methods, tools",Design Open-source RISC-V Chip with Open-source EDA tools and lPs,Hao,Wang,"Institute of Computing Technology, Chinese Academy of Sciences",Open-source hardware and open silicon;	Open EDA tools;	,Reject,,,,,,
41,41,"Core, IP",A Static Multi-Issue Fused In-Order RISC-V Vector CPU Arch. For High Efficient Real-Time Computing,Cruise,Huang,acemicro,"RISC-V ISA extensions;	Embedded systems, IoT, edge computing;	Any other topic related to RISC-V and open hardware;	RISC-V related educational activities;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Thursday 27th,D-09,D,09
42,42,Application,PerfXLM: A LLM Inference Engine on RISC-V CPUs,Chiyo,Wang,PerfXLab Technologies,Any other topic related to RISC-V and open hardware,Accept as presentation,,1,Thursday 27th,B-02,B,02
43,43,Verification,Accelerating RISC-V Core Verification through scalable hybrid FPGA Co-Simulation,Stanislaw,Kaushanski,MINRES Technologies GmbH,Verification,Accept as poster,,1,Wednesday 26th,A-04,A,04
44,44,Verification,A Co-Simulation Strategy for RISC-V Processor Verification,Fabio,Malatesta,Frontgrade Gaisler,Verification;	Open EDA tools;	Hardware/software co-design;	,Declined,,1,,,,
45,45,"Core, IP",Enhancing convolutional neural network computation with integrated matrix extension,Jim,Ke,Andes Tech,RISC-V ISA extensions;	High-performance computing;	,Accept as presentation (industry),,1,Thursday 27th,B-08,B,08
46,46,Safety,DevOps Meets RISC-V: A Safety-Certified Journey to Efficiency,Rafael,Taubinger,IAR,"Security and functional safety;	Embedded systems, IoT, edge computing;	Automotive",Accept as poster (industry),,1,Tuesday 25th,A-01,A,01
47,47,"Methods, tools",Unleashing the Power of Model-Based Design with RISC-V and RTOS,Rafael,Taubinger,IAR,"Operating system and software ecosystem;	Security and functional safety;	Embedded systems, IoT, edge computing;	",Accept as poster (industry),,1,Wednesday 26th,D-13,D,13
48,48,Software,Maximizing Efficiency: Writing Power-Efficient RISC-V Code,Rafael,Taubinger,IAR,"Operating system and software ecosystem;	Embedded systems, IoT, edge computing;	Security and functional safety;	",Accept as poster (industry),,1,Thursday 27th,D-10,D,10
49,49,Security,Spectre Mitigation through Selective Speculation Fences,Herinomena,Andrianatrehina,Inria Rennes,RISC-V ISA extensions;	Security and functional safety;	,Accept as poster,,1,Tuesday 25th,B-06,B,06
50,50,"Methods, tools",Automated Synthesis of a Multicore RISC-V SoC with Interconnect Customized for Dataflow Requirements Based on LiteX,Naouel,Haggui,IETR INSA Rennes,Hardware/software co-design;	RISC-V related educational activities,Accept as poster,,1,Wednesday 26th,D-14,D,14
51,51,"Core, IP",XiangShan: Empowering Open-Source RISC-V Innovation with High Performance Processor and Agile Infrastructure,Luoshan,Cai,Beijing Institute of Open Source Chip,"RISC-V ISA extensions;	Verification;	Open-source hardware and open silicon;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Innovation Session (industry),,1,Thursday 27th,C-04,C,04
52,52,Security,Formal Verification of Security-Critical Functionality on RISC-V Processors,Christian,Appold,DENSO AUTOMOTIVE Deutschland GmbH,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	Security and functional safety;	Verification;	",Accept as poster,,1,Tuesday 25th,B-07,B,07
53,53,Verification,Efficient Architecture Verification Framework with FPGA Acceleration for RISC-V Processors,yang,zhong,Institute of Computing Technology Chinese Academy of Sciences,Hardware/software co-design;	Verification;	,Accept as poster,,1,Wednesday 26th,A-05,A,05
54,54,Security,ARM vs RISC-V: Code Reuse Attacks Exploitable Surface,Téo,Biton,Thales,Security and functional safety;	,Accept as poster,,1,Tuesday 25th,B-08,B,08
55,55,"Core, IP",Application Specific ISA Extensions in RFID Edge Processing,Sammy Johnatan,Carbajal Ipenza,NXP Semiconductors,"Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	Hardware/software co-design;	",Accept as poster,TRISTAN,1,Wednesday 26th,B-06,B,06
56,56,"Core, IP",Enhanced LPDDR4X PHY in 12nm FinFET,Johannes,Feldmann,University of Kaiserslautern,"High-performance computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Thursday 27th,D-06,D,06
57,57,Verification,Efficient Verification Framework for RISC-V Instruction Extensions with FPGA Acceleration,yang,zhong,Institute of Computing Technology Chinese Academy of Sciences,Verification;	RISC-V ISA extensions;	Hardware/software co-design;	,Accept as poster,,1,Wednesday 26th,A-06,A,06
58,58,Software,Full-stack evaluation of Machine Learning inference workloads for RISC-V systems,Debjyoti,Bhattacharjee,imec,Hardware/software co-design;	Compilation and code optimization;	Operating system and software ecosystem;	Open-source hardware and open silicon;	RISC-V related educational activities,Accept as poster,,1,Thursday 27th,B-06,B,06
59,59,Security,STANDARDIZING CHERI FOR RISC-V,Tariq,Kurd,Codasip,"Cloud computing;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	RISC-V ISA extensions;	Security and functional safety;	High-performance computing;	Automotive",Accept as presentation (industry),,1,Tuesday 25th,B-09,B,09
60,60,"Methods, tools",Leveraging TVM to optimize AI models for custom HW Accelerators and RISCV extended instructions,Gilles,Miet,Robert Bosch (France) SAS,"RISC-V ISA extensions;	Embedded systems, IoT, edge computing;	Operating system and software ecosystem;	Hardware/software co-design;	Compilation and code optimization;	Automotive;	Open EDA tools;	RISC-V related educational activities;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Wednesday 26th,B-07,B,07
61,61,Software,Bringing Tier-1 support for Rust to 64-bit RISC-V Linux.,Daniel,Silverstone,Codethink Ltd,Compilation and code optimization;	Operating system and software ecosystem;	,Accept as presentation (industry),,1,Wednesday 26th,D-02,D,02
62,62,Security,Tag Management in CHERI-RISC-V Systems,Jonathan,Woodruff,University of Cambridge,"Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions;	Open-source hardware and open silicon;	",Accept as poster,,1,Tuesday 25th,B-10,B,10
63,63,Security,Memory Safety for RISC-V - Exploring independent evaluation of MTE and CHERI protection mechanisms,Simon,Moore,University of Cambridge,Security and functional safety;	RISC-V ISA extensions,Reject,,,,,,
64,64,Safety,The Integration of RISC-V Instruction Set Architecture into Automotive Applications- Challenges and Solutions,Neil,Fan,Nuclei system,Security and functional safety;	Automotive,Accept as poster,,1,Tuesday 25th,A-02,A,02
65,65,"Methods, tools",Defacto's Design Platform for RISC V SoC Design Projects,Bastien,Gratreaux,Defacto Technologies,"Any other topic related to RISC-V and open hardware;	Security and functional safety;	Operating system and software ecosystem;	Automotive;	Verification;	Cloud computing;	High-performance computing;	Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals",Reject (industry),,,,,,
66,66,Verification,Machine-readable architectural coverage for improving RISC-V test generation quality,Will,Keen,Imagination Technologies,Any other topic related to RISC-V and open hardware;	Verification;	,Reject,,,,,,
67,67,Verification,Coverage-driven verification methodology to verify highly configurable RISC-V core,Nicolae,Tusinschi,SEDA,"RISC-V ISA extensions;	Verification;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster (industry),,1,Wednesday 26th,A-07,A,07
68,68,"Core, IP",A RISC-V based System on Chip for Household IoT Applications,Angelo,Perkusich,Virtus/UFCG,"Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V related educational activities",Reject,,,,,,
69,69,Security,Ensuring Datapath Integrity and Adherence with Formal Security Verification in RISC-V Implementation,Keerthikumara,Devarajegowda,Siemens EDA,"Verification;	Automotive;	Open-source hardware and open silicon;	Any other topic related to RISC-V and open hardware;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Security and functional safety",Accept as poster (industry),,1,Tuesday 25th,C-01,C,01
70,70,"Methods, tools","Open Virtual Platforms APIs Enable High Quality, Easily Maintained RISC-V Processor Models",Larry,Lapides,Synopsys,Verification;	Hardware/software co-design;	RISC-V ISA extensions,Accept as presentation (industry),,1,Wednesday 26th,D-15,D,15
71,71,Security,CHERI Is Not Just a Hardware Extension,Carl,Shaw,Codasip,RISC-V ISA extensions;	Operating system and software ecosystem;	Security and functional safety,Accept as poster (industry),,1,Tuesday 25th,C-02,C,02
72,72,"Core, IP",Advancing SoC Design: A Groundbreaking Architecture for Minimizing Tape-Out Costs,Tong,Liu,The Hong Kong University of Science and Technology (Guangzhou),"Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Thursday 27th,C-05,C,05
73,73,"Methods, tools",Open-Source at BOSC: Achievements and Challenges,Shan,Liu,Beijing Institute of Open-Source Chip,Open EDA tools;	Any other topic related to RISC-V and open hardware;	Open-source hardware and open silicon;	Hardware/software co-design;	Verification;	High-performance computing;	,Innovation Session (industry),,1,Wednesday 26th,C-01,C,01
74,74,"Core, IP",CyberRio: An AI-Generated RISC-V CPU,Guohua,Yin,TsinghuaUniversity,Any other topic related to RISC-V and open hardware;	,Accept as poster,,1,Thursday 27th,C-06,C,06
75,75,Safety,Andes' Ecosystem Approach to Drive RISC-V Adoption in Automotive Designs,Samuel,Chiang,Andes Technology,"Security and functional safety;	Automotive;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster (industry),,1,Tuesday 25th,A-03,A,03
76,76,"Methods, tools",Calibrate GEM5 to Boost Developing Xiangshan Processor,Yaoyang,Zhou,Beijing Institute of Open Source Chip,,Accept as poster (industry),,1,Wednesday 26th,C-02,C,02
77,77,"Core, IP",High Performance and Efficiency 512-b & 1024-b VLEN Vector Processor and AI Related Accelerator,Nathan,Ma,Nuclei System Technology,"High-performance computing;	RISC-V ISA extensions;	Systems-on-Chip, including processor cores, accelerators, peripherals",Accept as poster,,1,Thursday 27th,A-06,A,06
78,78,"Core, IP",Various Automotive Application using ASIL Level RISC-V Cores,Nathan,Ma,Nuclei System Technology,Automotive,Innovation Session (industry),,1,Thursday 27th,C-07,C,07
79,79,Verification,A design verification perspective of testing RISC-V security architectures by modeling side channel attacks,Jevin,John,Valtrix Systems,Verification;	Security and functional safety,Accept as poster (industry),,1,Wednesday 26th,A-08,A,08
80,80,Security,Deep Insight into IOPMP: Priority and Non-Priority Rules,Paul,Ku,Andes Technology,Security and functional safety;	,Accept as poster,,1,Tuesday 25th,C-03,C,03
81,81,Security,Xen-Se: A Secure Extended Isolation Hypervisor for Trusted RISC-V Hardware,Zhixuan,Xu,RISC-V International Open Source Lab,Operating system and software ecosystem,Accept as poster,,1,Tuesday 25th,C-04,C,04
82,82,Software,openEuler RISC-V for 2024,Jingwei,Wang,"Institute of Software, Chinese Academy of Sciences",Operating system and software ecosystem;	,Innovation Session (industry),,1,Wednesday 26th,D-09,D,09
83,83,Education,Cloud-V: Becoming the first official RISC-V Lab Partner,Moiz,Hussain,10xEngineers,RISC-V related educational activities;	Any other topic related to RISC-V and open hardware;	Cloud computing;	,Innovation Session (industry),,1,Tuesday 25th,D-12,D,12
84,84,Verification,Insight into achieving faster time-to-market for RISC-V systems from the conceptualization of design using advanced verification methods,Raima,Chemmanam,Valtrix Systems,Verification;	,Accept as poster (industry),,1,Wednesday 26th,A-09,A,09
85,85,Security,Enhancing SecureOS porting to RISC-V architecture using hypervisor,Paweł,Kulig,Samsung,"Hardware/software co-design;	Embedded systems, IoT, edge computing;	Security and functional safety;	Operating system and software ecosystem",Accept as poster,,1,Tuesday 25th,C-05,C,05
87,87,Other,RISC-V Prosperity 2036: PLCT Vision,Wei,Wu,"PLCT Lab, ISCAS",Any other topic related to RISC-V and open hardware,Innovation Session (industry),,1,Tuesday 25th,B-12,B,12
88,88,Application,The First Study of the Impact of Codee on SiFive's LLVM RISC-V Development Ecosystem,Manuel,Arenaz,Codee,"Operating system and software ecosystem;	Embedded systems, IoT, edge computing;	Compilation and code optimization;	Automotive;	High-performance computing;	",Accept as poster (industry),,1,Wednesday 26th,D-01,D,01
89,89,Application,MobileBERT on RISC-V: Leveraging IREE Compiler and ACE-RVV Extension for Softmax Acceleration,Yueh-Feng,Lee,Andes Technology,"Compilation and code optimization;	Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions;	Embedded systems, IoT, edge computing",Accept as poster (industry),,1,Thursday 27th,B-03,B,03
90,90,"Methods, tools",Using Performance Simulation to Develop High Performance Computing,Itai,Yarom,MIPS,Automotive;	High-performance computing;	Hardware/software co-design,Accept as poster (industry),,1,Wednesday 26th,C-03,C,03
91,91,"Methods, tools",Breaking the RISC-V MCUs ecosystem barriers,Giancarlo,Parodi,Renesas Electronics,"Embedded systems, IoT, edge computing;	",Accept as presentation (industry),,1,Wednesday 26th,C-04,C,04
92,92,"Methods, tools",Enhancing the RISC-V Firmware Development Workflow through a Flexible Tooling Environment,Christian,Seifert,Technical University of Graz,Operating system and software ecosystem;	Hardware/software co-design;	RISC-V related educational activities;	RISC-V ISA extensions;	,Accept as poster,TRISTAN,1,Wednesday 26th,B-09,B,09
93,93,Security,CHERI RISC-V: A Case Study on the CVA6,Bruno,Sa,University of Minho - Centro ALGORITMI/LASI,Open-source hardware and open silicon;	RISC-V ISA extensions;	Hardware/software co-design;	,Accept as presentation,,1,Tuesday 25th,C-06,C,06
94,94,Safety,Atalanta: Open-Source RISC-V Microcontroller for Rust-Based Hard Real-Time Systems,Antti,Nurmi,Tampere University,"Compilation and code optimization;	Embedded systems, IoT, edge computing;	Operating system and software ecosystem;	Open-source hardware and open silicon",Accept as poster,,1,Tuesday 25th,A-04,A,04
95,95,Software,Accelerating software development for emerging ISA extensions with cloud-based FPGAs: RVV case study,Marek,Pikuła,Samsung R&D Institute Poland,Compilation and code optimization;	RISC-V ISA extensions;	Hardware/software co-design,Accept as poster,,1,Thursday 27th,A-02,A,02
96,96,Security,"Security, Safety, and Predictability of CHERI RISC-V for Drone Systems",Donato,Ferraro,"Minerva Systems SRL, University of Modena and Reggio Emilia","Security and functional safety;	Operating system and software ecosystem;	RISC-V ISA extensions;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	",Accept as poster,,1,Tuesday 25th,C-07,C,07
97,97,"Methods, tools",Design Exploration of RISC-V Soft-Cores through Speculative High-Level Synthesis,Simon,Rokicki,Irisa,Any other topic related to RISC-V and open hardware,Accept as presentation,,1,Wednesday 26th,C-05,C,05
98,98,Verification,Constrained-Randomised Verification of RISC-V Cores,Kun,Anjalideep,Incore Semiconductors,Verification;	,Accept as poster,,1,Wednesday 26th,A-10,A,10
99,99,"Methods, tools",Integrating RISC-V soft-processors into the AMD-Xilinx design flow,Carlos,Lara Nino,Laboratoire Hubert Curien,"Any other topic related to RISC-V and open hardware;	Open-source hardware and open silicon;	RISC-V related educational activities;	Systems-on-Chip, including processor cores, accelerators, peripherals",Reject,,,,,,
